Name,Cloudiness,Humidity,Latitude,Temperature,Wind Speed
Somerset,1,77,37.09,58.53,2.86
Sistranda,75,93,63.73,48.2,19.46
Te Anau,64,96,-45.41,35.87,1.81
Lorengau,36,100,-2.02,81.05,4.99
Teguldet,44,54,57.31,76.55,3.53
Katsuura,75,69,33.93,77.0,8.05
Verkhnyaya Sinyachikha,48,84,57.98,55.4,4.38
Tiarei,40,78,-17.53,78.8,4.7
Okha,0,73,53.59,48.2,16.69
Altay,0,20,47.83,67.28,3.27
Bambous Virieux,40,69,-20.34,80.6,14.99
Barrow,92,92,-38.31,49.37,18.3
Cherskiy,0,67,68.75,44.15,7.07
Ambilobe,0,68,-13.19,79.7,4.32
Champerico,90,94,16.38,73.4,2.08
Burnie,92,97,-41.05,58.28,26.64
Oliveira dos Brejinhos,0,92,-12.32,59.99,3.53
Brookhaven,90,87,40.78,56.71,4.7
Tupancireta,48,87,-29.08,39.92,5.06
Alamosa,1,37,37.47,55.4,8.05
Bella Union,48,94,8.5,65.66,1.59
Nouadhibou,0,64,20.93,71.6,14.99
Yumen,36,36,40.29,68.72,6.51
Deputatskiy,0,60,69.3,63.5,5.21
Kushiro,40,72,43.11,64.4,17.22
Comodoro Rivadavia,0,48,-45.87,41.0,12.75
Santa Barbara,1,59,34.42,58.62,22.73
Smirice,0,62,50.3,57.2,1.12
San Vicente,20,94,13.64,75.2,5.82
Yellowknife,75,63,62.45,42.8,5.82
Sobolevo,0,69,54.43,54.77,8.34
Arraial do Cabo,24,100,-22.97,68.45,5.61
Lahij,0,56,13.06,90.41,4.99
Fort Nelson,75,66,58.81,53.6,8.05
Ruteng,88,79,-8.61,80.87,4.99
Cayenne,90,100,4.94,75.2,4.76
Narsaq,92,86,60.91,37.4,3.53
Empalme,0,77,27.96,69.71,3.98
Aneho,20,94,6.23,73.4,5.82
San Jose,80,73,15.79,85.64,3.09
Balabac,12,99,7.99,85.82,16.58
Kapaa,75,78,22.08,76.17,16.11
Abadan,0,22,30.36,99.37,13.87
Breytovo,48,70,58.3,53.15,14.56
Miass,0,76,55.07,53.15,9.86
Khasan,92,62,42.43,70.88,6.55
Nishihara,1,51,35.74,80.1,13.87
Quatre Cocos,40,69,-20.21,80.6,14.99
Longyearbyen,75,64,78.22,39.2,5.82
Chokurdakh,0,95,70.62,35.15,6.62
Atuona,92,100,-9.8,78.17,20.04
Bredasdorp,8,86,-34.53,41.0,2.24
Sunrise Manor,1,9,36.21,87.48,14.99
Bilibino,92,64,68.06,51.8,4.38
Garachine,80,100,8.06,78.98,6.85
Saldanha,88,91,41.42,49.64,2.75
Erenhot,44,39,43.65,70.88,15.68
Verkhnyaya Inta,12,60,65.99,46.4,6.33
Itarema,76,94,-2.92,76.1,8.63
Guerrero Negro,48,100,27.97,59.9,9.91
Grindavik,90,87,63.84,46.4,4.7
Ayagoz,0,22,47.96,84.29,8.52
Haines Junction,56,57,60.75,44.51,2.26
Killybegs,0,83,54.63,58.82,4.83
Chuy,0,100,-33.69,45.5,14.61
Kainantu,100,98,-6.29,66.11,1.81
Jumla,0,70,29.28,53.78,1.7
Pombas,8,87,-15.9,60.26,2.71
Ilulissat,0,65,69.22,46.4,10.29
Bethel,1,48,60.79,64.4,18.34
Albany,20,71,42.65,53.1,2.71
Leningradskiy,8,97,69.38,31.28,10.09
Kirakira,88,100,-10.46,79.34,15.46
Vila Velha,75,88,-3.71,78.8,8.05
Kruisfontein,12,62,-34.0,66.29,13.6
Chaman,0,14,30.92,94.64,6.4
Abrau-Dyurso,75,88,44.7,68.0,4.47
San Miguel,0,75,-34.54,46.4,4.7
Carnarvon,12,53,-30.97,34.97,6.73
Makakilo City,90,83,21.35,74.32,4.7
Bathsheba,40,83,13.22,78.8,19.46
Puerto Leguizamo,0,93,-0.19,71.42,2.08
Paamiut,88,92,61.99,37.85,40.56
Manadhoo,92,100,5.77,82.67,18.41
Uyemskiy,40,65,64.47,44.6,8.95
Aksarka,92,98,66.56,44.33,4.09
Port Augusta,75,28,-32.49,69.8,24.16
Waipawa,92,93,-39.94,46.04,12.1
Warwick,90,87,41.7,53.11,5.82
Klerksdorp,0,63,-26.86,31.82,2.86
Sulphur Springs,1,74,33.14,79.14,5.82
Presidente Medici,0,91,-11.18,65.84,2.19
Shumskiy,48,68,54.83,61.25,3.09
Qaanaaq,0,89,77.48,22.55,5.77
Saskylakh,0,63,71.97,62.15,6.62
Prince George,20,54,53.92,55.4,6.93
Ostersund,75,70,63.18,48.2,20.8
Biak,92,95,-0.91,79.97,4.83
Doka,20,55,13.52,84.74,12.44
Sosnovka,0,56,53.23,57.47,6.73
Birao,0,56,10.3,82.4,9.53
Coihaique,80,92,-45.58,28.2,4.7
Himatnagar,20,50,23.6,96.8,9.17
Castro,56,100,-42.48,38.39,5.99
Tonstad,40,87,58.66,59.0,1.12
Pekin,75,73,40.57,74.28,5.82
Juneau,90,76,58.3,53.6,2.3
Dong Hoi,56,79,17.48,89.06,12.1
Gresham,1,63,45.51,61.27,5.82
Iracoubo,80,91,5.48,76.37,3.71
Svetlaya,92,100,46.54,45.77,15.84
Ocos,90,94,14.51,75.2,7.11
Half Moon Bay,20,67,37.46,57.2,18.34
Mayskiy,90,72,43.63,68.0,6.11
Touros,76,95,-5.2,77.18,6.4
San Patricio,32,83,-26.98,46.67,3.49
Emerald,0,38,-23.53,72.5,10.54
Hokitika,0,100,-42.72,50.9,2.48
Masallatah,80,47,32.62,76.55,14.56
Pisco,90,88,-13.71,64.4,6.93
Tocopilla,0,93,-22.09,56.3,3.2
Bowmore,1,69,34.94,74.19,5.82
Porto Novo,75,88,-23.68,62.6,1.12
Batagay-Alyta,0,48,67.8,67.82,5.32
Lukashin,0,49,40.19,65.77,4.7
Margate,75,59,-43.03,60.8,16.11
Brookings,1,59,44.31,66.2,5.82
Vaini,92,90,15.34,76.64,6.55
Hauterive,75,93,46.09,57.2,2.24
Ust-Ilimsk,12,81,57.96,59.18,3.49
Kolomak,0,54,49.84,62.87,5.5
Kenai,1,67,60.55,57.2,5.82
Kankan,20,97,10.38,69.26,3.76
Atar,0,35,20.52,77.36,6.78
Espanola,48,63,46.27,56.21,5.84
Qinhuangdao,92,87,39.94,70.16,4.05
Mayumba,88,96,-3.44,74.84,4.5
Whitehorse,75,57,60.72,55.4,10.29
Upernavik,76,84,72.79,34.25,14.9
Dalby,75,52,-27.18,66.2,17.22
Marsaxlokk,20,94,35.84,71.6,14.99
Tucson,1,26,32.22,86.95,4.7
Trairi,48,100,-3.28,79.79,14.79
Timizart,0,89,36.8,55.85,2.37
Brownsville,1,83,25.91,81.77,10.29
Unity,0,38,52.44,56.93,7.78
Kalyazin,8,65,57.24,55.58,12.03
Enkhuizen,0,88,52.7,65.28,3.36
Camacha,40,93,33.08,64.4,6.93
Praia da Vitoria,40,77,38.73,62.6,11.14
Luderitz,0,63,-26.65,57.83,3.49
Nioro,12,73,13.79,75.65,8.34
Douglas,1,29,31.34,75.2,4.7
Faya,5,41,18.39,78.8,11.41
Zhigansk,0,26,66.77,73.76,5.61
Butaritari,76,100,3.07,84.38,7.63
San Quintin,75,59,17.54,93.2,11.41
Tungor,0,73,53.39,48.2,16.69
Lompoc,90,87,34.64,55.4,13.87
Richards Bay,0,100,-28.77,51.71,3.27
Sitka,0,39,37.17,83.39,17.85
Nelson Bay,75,55,-32.72,66.2,6.93
Zachary,1,94,30.65,71.6,3.6
Lincoln,75,100,53.23,50.61,4.7
Ahipara,36,96,-35.17,52.16,13.27
Muisne,8,97,0.61,68.81,2.59
Bull Savanna,80,72,17.89,78.35,6.11
Tuatapere,64,100,-46.13,46.04,11.65
Abong Mbang,92,99,3.98,69.62,2.82
Fairview,90,72,40.81,58.98,4.88
Klaksvik,48,70,62.23,46.4,2.24
Nanchong,0,53,30.8,91.22,5.21
Unai,8,84,-16.36,61.07,1.86
Linkou,44,56,45.29,72.5,7.9
Tezu,0,72,27.93,78.62,1.7
Kudahuvadhoo,12,97,2.67,84.56,14.16
Dhidhdhoo,68,100,6.88,82.4,18.86
Torbay,90,100,47.66,35.6,5.82
Bereda,75,82,43.27,59.0,9.17
Bandarbeyla,0,82,9.49,79.07,23.33
Farmington,1,15,36.73,65.37,3.04
Pinega,56,47,64.7,47.75,7.56
Bonthe,92,97,7.53,77.72,2.04
Naze,32,95,5.43,74.12,6.06
Busselton,68,100,-33.64,60.98,10.02
Manavalakurichi,90,88,8.13,77.0,3.36
Ishigaki,40,84,24.34,87.8,10.29
Ust-Omchug,64,32,61.13,56.66,3.83
Tutoia,20,92,-2.76,76.82,8.79
Cabinda,0,100,-5.56,75.65,2.19
Luorong,68,76,24.41,81.5,11.03
Terre Haute,1,72,39.47,67.33,4.5
Thompson,40,100,55.74,44.6,5.84
Lima,12,87,-12.06,53.33,1.48
Leeton,64,74,-34.55,62.24,11.03
Isangel,100,100,-19.55,71.51,2.3
Zyryanka,0,53,65.73,56.75,3.09
Avera,1,94,33.19,70.18,2.59
Ust-Maya,12,44,60.42,66.29,7.23
Baglung,92,91,28.27,68.18,0.47
Teluknaga,40,62,-6.1,89.6,8.05
Severo-Yeniseyskiy,0,51,60.37,66.83,3.31
Georgetown,75,100,6.8,75.2,4.7
Donghai,0,50,34.52,87.8,8.3
Cape Canaveral,1,88,28.41,73.85,5.82
Assomada,0,78,15.1,71.6,3.36
Jinchang,88,42,38.52,59.99,5.21
Honolulu,75,73,21.3,74.3,8.05
Lahat,8,93,-3.78,86.09,3.83
Ballina,20,76,54.11,55.4,4.7
Portland,40,63,45.52,61.0,8.05
Lavrentiya,20,78,65.58,37.94,17.4
Bambanglipuro,88,64,-7.95,85.1,5.55
Waingapu,32,59,-9.65,86.81,6.62
Lerwick,20,81,60.15,50.9,5.82
Santa Lucia,92,99,39.93,60.35,2.59
Sterling,75,82,39.0,60.91,3.36
Nanortalik,92,92,60.14,35.42,17.92
Labuhan,56,66,-2.54,88.16,2.71
Elizabeth City,1,82,36.3,65.21,5.32
Jining,0,54,35.41,89.24,9.57
Geraldton,90,81,49.72,53.6,10.29
Dunedin,0,90,-45.87,43.07,14.45
Currais Novos,0,94,-6.26,69.8,5.77
Itoman,20,79,26.12,85.39,10.29
Inhambane,75,93,-23.87,62.6,4.7
Pacific Grove,20,82,36.62,55.85,5.82
Atambua,0,82,-9.11,83.57,5.28
Mahebourg,40,69,-20.41,80.6,14.99
Dikson,24,93,73.51,34.07,20.71
Ifakara,0,73,-8.13,66.11,3.38
Sosnovo-Ozerskoye,36,76,52.53,64.67,4.83
Pavilosta,56,82,56.89,57.15,3.36
Buala,64,92,-8.15,82.94,4.54
New Norfolk,75,59,-42.78,60.8,16.11
Sorland,75,75,67.67,41.0,17.22
Khatanga,8,62,71.98,62.42,18.81
Talnakh,0,79,69.49,41.72,19.86
Kavaratti,68,100,10.57,81.5,20.2
Yerbogachen,12,52,61.28,71.69,3.76
Umea,0,66,63.83,50.0,11.41
Noumea,90,60,-22.28,73.4,5.82
Hamilton,75,88,32.3,77.0,10.29
Anori,92,97,-3.74,73.94,5.1
Salalah,75,83,17.01,84.2,5.82
Mabaruma,92,95,8.2,77.09,4.99
Marathon,88,99,48.72,40.82,4.5
Dingle,88,70,11.0,85.73,12.88
Polyarnyy,40,64,69.2,39.2,11.18
Chicama,90,88,-7.84,64.4,4.7
Hami,44,29,42.84,82.85,1.86
Faanui,88,100,-16.48,81.32,19.04
Tornio,0,57,61.12,49.98,9.17
Pevek,36,99,69.7,32.27,12.77
Necochea,92,100,-38.55,49.37,15.35
Hit,0,14,33.64,99.77,12.82
Iqaluit,90,74,63.75,30.2,5.82
Saint George,20,64,39.45,69.8,2.19
Westport,20,76,53.8,55.4,4.7
General Pico,0,73,-35.66,43.34,14.34
Marystown,8,93,47.17,37.22,5.73
Hobart,75,59,-42.88,60.8,16.11
Lakselv,75,60,70.05,41.0,17.22
Tessalit,0,17,20.2,81.14,9.86
Palu,76,93,-0.9,72.95,1.59
Hirara,75,83,24.8,86.04,5.82
Hervey Bay,76,100,-25.3,64.58,15.17
Beian,75,93,63.66,48.2,18.34
Buckeye,1,15,33.37,87.19,2.71
Avarua,20,83,-21.21,75.2,1.12
Lagoa,0,93,37.14,57.2,4.7
Ponta Delgada,20,82,37.73,60.8,6.93
Kundiawa,100,100,-6.02,59.9,0.47
Port Lincoln,76,84,-34.72,61.7,27.76
Mashhad,20,33,36.3,87.8,6.93
Babusnica,0,88,43.07,62.6,1.12
Teya,5,69,21.05,82.4,9.17
Gushikawa,20,79,26.35,85.41,10.29
Vila Franca do Campo,20,82,37.72,60.8,6.93
Talara,0,92,-4.58,63.95,5.88
Prince Rupert,90,87,54.32,48.2,10.29
Sao Filipe,36,99,14.9,72.5,9.08
Khor,92,100,47.88,52.43,12.15
Kavieng,0,100,-2.57,85.64,7.07
Rosamorada,36,73,22.12,76.28,2.04
Port Alfred,0,78,-33.59,63.05,9.08
Srednekolymsk,0,60,67.46,51.62,3.31
Hermanus,12,68,-34.42,59.09,8.08
Baghdad,0,24,33.3,91.4,5.82
Fukue,75,83,35.03,73.4,9.17
Antalaha,24,90,-14.9,77.72,1.19
Ulvila,0,53,61.43,51.8,14.99
Auce,76,56,56.47,58.28,16.28
Cukai,75,94,4.25,85.77,3.83
Libin,75,100,49.98,59.0,4.7
Ribeira Grande,88,100,38.52,64.67,9.01
Aden,24,95,12.79,86.18,4.99
Palmer,0,39,-34.85,64.4,20.8
Mataura,80,91,-46.19,46.67,14.05
Wellington,80,81,-41.29,51.8,33.33
Fortuna,0,82,38.18,59.0,4.7
Aykino,24,71,62.22,47.21,7.4
Constitucion,48,23,23.99,73.4,8.3
Mufulira,0,71,-12.55,48.2,8.3
Saint-Philippe,40,93,45.36,54.77,4.7
Saint-Georges,0,93,46.12,39.56,2.75
Sechura,0,92,-5.56,66.02,11.1
Moron,8,93,10.49,63.41,1.81
Shira,8,63,54.49,70.52,3.71
Codrington,92,74,-28.95,62.69,6.4
Hithadhoo,24,100,-0.6,83.48,12.59
Hilo,75,78,19.71,64.26,16.46
Victoria,75,79,5.28,89.64,5.82
Grand Gaube,40,69,-20.01,80.6,14.99
Bilma,0,15,18.69,83.57,4.83
Madison Heights,75,63,42.49,62.24,3.36
Kasongo,0,38,-4.43,73.85,5.06
Coquimbo,0,81,-29.95,50.0,9.17
Den Helder,0,88,52.96,63.7,3.36
Airai,0,43,-8.93,84.38,0.85
Longhua,0,52,29.21,89.6,4.47
Mananjary,0,49,-19.16,59.9,3.49
Hasaki,20,65,35.73,79.75,8.05
Cabo San Lucas,5,57,22.89,78.01,9.86
Puerto Ayora,68,100,-0.74,73.4,11.59
Jieshi,92,100,22.82,77.54,12.77
Khani,0,69,41.96,75.2,4.7
Dobrinka,0,76,52.17,57.38,5.1
Salinopolis,80,100,-0.61,80.15,11.25
Bluff,0,38,-23.58,72.86,9.24
Lengshuitan,68,92,26.41,78.08,8.75
Antofagasta,75,76,-23.65,55.4,9.17
Sal Rei,40,88,16.18,71.6,9.17
Whyalla,75,28,-33.04,69.8,24.16
Bekhtery,0,74,46.25,68.9,11.1
Kodiak,40,77,39.95,69.8,18.34
Gallup,1,10,35.53,64.4,8.34
Buraydah,20,21,26.33,95.0,12.75
Kasongo-Lunda,12,84,-6.48,59.36,2.98
Nikolskoye,0,66,59.7,51.8,11.18
Vredendal,0,80,-31.68,44.78,2.98
Kampene,0,32,-3.59,74.75,3.98
Polson,64,52,47.69,54.14,2.04
Yar-Sale,92,91,66.83,35.33,3.04
Ostrow Wielkopolski,0,58,51.66,56.66,13.15
Kaitangata,56,88,-46.28,46.67,18.37
Pangnirtung,92,98,66.15,30.2,5.21
Kalmunai,44,69,7.42,90.23,11.03
Adrar,0,15,27.87,77.0,11.41
Kastamonu,0,82,41.38,60.8,2.24
Port Elizabeth,90,82,39.31,61.54,4.7
Kungalv,0,87,57.87,62.69,11.41
Tiksi,0,70,71.64,51.17,11.81
Fairbanks,75,42,64.84,63.14,12.75
Karpogory,64,54,64.0,45.5,6.55
Tooele,1,56,40.53,72.79,10.29
Mount Isa,0,21,-20.73,80.6,9.17
Goiatuba,20,81,-18.02,63.68,3.09
Wisconsin Rapids,1,100,44.39,58.33,3.2
Chitrakonda,20,69,18.12,85.37,5.39
Ust-Tsilma,56,68,65.44,44.33,6.22
Rongcheng,0,69,37.16,78.26,11.32
Riyadh,0,14,24.63,96.8,3.36
Aklavik,75,78,68.22,37.4,8.05
Grado,90,93,43.39,59.0,2.3
Nome,1,88,30.04,75.16,4.76
Aloleng,88,100,16.13,82.49,10.92
Hargeysa,24,54,9.56,77.45,14.83
Ha Giang,0,63,22.83,84.47,2.08
Flinders,0,55,-34.58,66.2,8.05
Izmir,0,53,38.42,73.4,2.24
Tondano,40,55,1.3,91.4,9.17
Walvis Bay,0,24,-22.95,66.2,14.99
Yondo,24,96,7.01,76.82,1.81
Norman Wells,40,41,65.28,59.0,4.7
Liverpool,0,81,53.41,51.8,6.93
Clyde River,88,95,70.47,29.03,23.33
Bonavista,0,93,48.65,35.6,9.13
Maningrida,0,60,-12.05,82.4,14.83
Los Llanos de Aridane,20,68,28.66,68.0,9.17
La Palma,56,94,5.36,68.09,1.25
Benghazi,0,51,32.12,84.2,29.97
Maldonado,0,87,-34.91,48.2,9.17
Bubaque,80,100,11.28,78.62,7.78
Provideniya,0,70,64.42,46.4,2.24
Severo-Kurilsk,92,98,50.68,38.57,15.39
Mayo,75,81,63.59,50.0,5.82
Namibe,0,91,-15.19,73.67,7.74
Yulara,64,12,-25.24,77.0,8.05
Kahului,40,83,20.89,72.41,14.99
Makhachkala,20,45,42.98,82.4,20.13
Port Hardy,90,71,50.7,53.6,8.05
Moroni,48,23,39.52,64.94,5.1
Port-Gentil,40,83,-0.72,80.6,8.05
Bose,40,82,45.46,63.45,9.17
Punta Arenas,40,100,-53.16,30.2,5.82
East London,0,38,-33.02,60.8,12.75
Mayor Pablo Lagerenza,92,84,-19.93,56.48,8.75
Ancud,44,90,-41.87,37.85,4.83
Port Blair,68,100,11.67,83.48,23.55
Yatou,40,94,3.63,75.2,2.24
Padang,8,100,-0.92,82.04,6.11
Vardo,1,82,39.62,55.15,2.08
Chuguyevka,12,77,44.17,70.97,3.2
Kanalia,0,52,39.4,72.32,2.98
Takoradi,76,100,4.89,77.9,5.5
Souillac,75,100,45.6,58.03,4.7
Hobyo,12,68,5.35,81.95,21.16
Jiangyou,80,40,31.78,83.57,13.44
Tuktoyaktuk,90,100,69.44,32.0,13.87
Esperance,20,83,10.24,78.8,5.82
Cidreira,36,90,-30.17,47.84,9.8
Vestmannaeyjar,0,95,63.44,46.31,2.75
Baykit,56,67,61.68,64.31,4.88
Tasiilaq,92,87,65.61,42.8,16.11
Verkhnevilyuysk,0,21,63.45,76.19,8.63
Ferrol,40,82,43.48,57.15,11.41
Nalut,0,37,31.86,79.88,2.37
Mercedes,0,82,-33.25,43.88,11.32
Muros,90,93,42.77,55.4,8.05
Lerik,0,57,38.78,73.18,2.24
Baruun-Urt,36,83,46.68,63.5,9.08
Jamestown,36,31,-33.21,62.69,19.08
Florence,1,83,34.8,66.72,2.53
Husavik,0,63,50.56,52.34,3.87
Mar del Plata,0,100,-46.43,23.99,3.27
Belaya Gora,0,55,68.54,60.26,4.76
College,75,42,64.86,63.14,12.75
Lethem,0,90,3.38,73.85,5.28
Luganville,92,100,-15.51,74.75,10.02
Chauk,92,94,20.89,80.87,7.52
Kysyl-Syr,0,26,63.9,75.47,7.23
Shitanjing,32,15,39.23,73.94,4.5
Rocha,0,92,-34.48,42.98,10.54
Meulaboh,12,98,4.14,86.18,5.06
La Rioja,0,87,-29.41,40.55,3.38
Mandalgovi,20,37,45.76,67.64,9.24
Poso,48,100,-1.4,80.87,4.61
Warmbad,0,52,50.67,60.64,9.17
Road Town,1,74,18.42,80.6,8.05
Lebu,20,93,8.96,51.8,4.7
Rikitea,12,100,-23.12,70.7,10.42
Marsa Matruh,0,93,31.35,66.2,4.72
Ulladulla,0,55,-35.36,66.2,8.05
Beaufort,75,67,5.36,90.72,3.36
Ponta do Sol,64,97,-20.63,57.92,3.04
Benito Juarez,0,84,28.64,69.44,4.54
Abu Samrah,0,45,35.3,80.15,5.73
Sattahip,40,62,12.67,87.8,9.17
Abnub,0,43,27.27,73.4,9.17
Umm Kaddadah,8,10,13.6,82.49,9.86
Estelle,1,58,32.87,83.3,5.82
Jacareacanga,32,98,-6.22,72.68,2.26
Libertador General San Martin,0,80,-23.81,39.2,8.05
Ushuaia,64,100,-54.81,22.37,4.61
Kurilsk,48,77,45.23,57.65,5.32
Ostrovnoy,92,89,68.05,38.21,18.41
Las Vegas,1,10,36.17,87.48,10.29
Luis Correia,0,91,-2.88,75.92,7.23
Cape Town,20,93,-33.93,57.2,13.87
